Time (s),Altitude (m),Radius (m),Radial Velocity (m/s),True Anomoly (rad),Angular Velocity (rad/s)
32824000.0,276408.42025836185,6654508.420258362,-0.06976365342601538,37321.67466726568,0.0011630400355257516
32826000.0,276267.878601823,6654367.878601823,-0.07058272345397322,37324.00078412978,0.0011630769158764882
32828000.0,276126.99899864383,6654226.998998644,-0.07030133148913104,37326.32697494765,0.0011631138501750273
32830000.0,275985.7574439086,6654085.757443909,-0.07116533717746648,37328.65323955027,0.001163150846465071
32832000.0,275842.7087216927,6653942.708721693,-0.0716112394801482,37330.979578763305,0.0011631884089966676
32834000.0,275699.89771052357,6653799.897710524,-0.07138189983257193,37333.305993039685,0.0011632258220851666
32836000.0,275556.01557268854,6653656.015572689,-0.07255490216231027,37335.63248227077,0.0011632635429352498
32838000.0,275410.6153643895,6653510.6153643895,-0.0725172167130001,37337.95904756144,0.0011633017266134403
32840000.0,275265.70547228865,6653365.705472289,-0.07274160551707008,37340.285688948534,0.001163339670322386
32842000.0,275118.9089450659,6653218.908945066,-0.07388498805620766,37342.612406690685,0.0011633782045834145
32844000.0,274971.4226555219,6653071.422655522,-0.07345738824803197,37344.93920187697,0.0011634169095995613
32846000.0,274824.0591049781,6652924.059104978,-0.07427699059458212,37347.26607419935,0.001163455500897238
32848000.0,274674.36217164993,6652774.36217165,-0.07502935055351263,37349.593024459115,0.0011634948364284967
32850000.0,274524.8808028959,6652624.880802896,-0.0746405686062559,37351.920053385555,0.0011635340236168226
32852000.0,274374.52939339634,6652474.529393396,-0.07587522469780712,37354.24716071159,0.0011635734418212864
32854000.0,274222.2629707828,6652322.262970783,-0.0760167528873255,37356.574347608,0.0011636134552153081
32856000.0,274070.5297314292,6652170.529731429,-0.07603766166563554,37358.90161428509,0.001163653206634262
32858000.0,273916.98931945395,6652016.989319454,-0.0774104565572293,37361.228960847744,0.001163693514187436
32860000.0,273762.32533901837,6651862.325339018,-0.07706133066968093,37363.5563885601,0.001163734137224834
